citation_id,page_url,page_title,source_file,section_heading,anchor_text,source_url_sanitized,source_domain,occurrences_on_page,http_method,http_status,redirect_hops,final_url_sanitized,liveness_status,checked_at,error_category,source_to_claim_correspondence_status
CITE-0001,https://www.suvroghosh.in/blog/artificial-intelligence/open-ai-astra-broke-mathematics,The Machine That Ate Ten Theorems: How OpenAI's Unreleased Astra Model Produced Ten Mathematical Advances,src/lib/posts/open-ai-astra-broke-mathematics.md,The Bigger Picture,How the Ideas Came Together,https://cdn.openai.com/pdf/reasoning-walkthroughs.pdf,cdn.openai.com,1,HEAD,200,0,https://cdn.openai.com/pdf/reasoning-walkthroughs.pdf,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0002,https://www.suvroghosh.in/blog/artificial-intelligence/open-ai-astra-broke-mathematics,The Machine That Ate Ten Theorems: How OpenAI's Unreleased Astra Model Produced Ten Mathematical Advances,src/lib/posts/open-ai-astra-broke-mathematics.md,The Bigger Picture,Ten Advances in Mathematics and Theoretical Computer Science,https://cdn.openai.com/pdf/ten-proofs-oai.pdf,cdn.openai.com,1,HEAD,200,0,https://cdn.openai.com/pdf/ten-proofs-oai.pdf,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0003,https://www.suvroghosh.in/blog/artificial-intelligence/open-ai-astra-broke-mathematics,The Machine That Ate Ten Theorems: How OpenAI's Unreleased Astra Model Produced Ten Mathematical Advances,src/lib/posts/open-ai-astra-broke-mathematics.md,The Bigger Picture,openai/ten-proofs repository,https://github.com/openai/ten-proofs,github.com,1,HEAD,,0,https://github.com/openai/ten-proofs,UNVERIFIED — NETWORK OR REDIRECT ERROR,2026-08-06T12:22:54.710Z,network_error,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0004,https://www.suvroghosh.in/blog/artificial-intelligence/open-ai-astra-broke-mathematics,The Machine That Ate Ten Theorems: How OpenAI's Unreleased Astra Model Produced Ten Mathematical Advances,src/lib/posts/open-ai-astra-broke-mathematics.md,The Bigger Picture,Lean Focused Research Organization,https://lean-lang.org/fro/about/,lean-lang.org,1,HEAD,200,0,https://lean-lang.org/fro/about/,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0005,https://www.suvroghosh.in/blog/artificial-intelligence/open-ai-astra-broke-mathematics,The Machine That Ate Ten Theorems: How OpenAI's Unreleased Astra Model Produced Ten Mathematical Advances,src/lib/posts/open-ai-astra-broke-mathematics.md,The Bigger Picture,Leiden Declaration on Artificial Intelligence and Mathematics,https://leidendeclaration.ai/,leidendeclaration.ai,1,HEAD,,0,https://leidendeclaration.ai/,UNVERIFIED — NETWORK OR REDIRECT ERROR,2026-08-06T12:22:54.710Z,network_error,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0006,https://www.suvroghosh.in/blog/artificial-intelligence/open-ai-astra-broke-mathematics,The Machine That Ate Ten Theorems: How OpenAI's Unreleased Astra Model Produced Ten Mathematical Advances,src/lib/posts/open-ai-astra-broke-mathematics.md,The Bigger Picture,Ten advances in mathematics and theoretical computer science,https://openai.com/index/ten-advances-in-mathematics/,openai.com,1,GET,403,0,https://openai.com/index/ten-advances-in-mathematics/,UNVERIFIED — ACCESS OR BOT RESTRICTION HTTP 403,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0007,https://www.suvroghosh.in/blog/artificial-intelligence/open-ai-astra-broke-mathematics,The Machine That Ate Ten Theorems: How OpenAI's Unreleased Astra Model Produced Ten Mathematical Advances,src/lib/posts/open-ai-astra-broke-mathematics.md,The Bigger Picture,Robbins problem,https://www.cs.unm.edu/~mccune/papers/robbins/,cs.unm.edu,1,HEAD,,0,https://www.cs.unm.edu/~mccune/papers/robbins/,UNVERIFIED — NETWORK OR REDIRECT ERROR,2026-08-06T12:22:54.710Z,network_error,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0008,https://www.suvroghosh.in/blog/healthcare-it/confounding-factors-healthcare-it-analytics,Confounding Factors,src/lib/posts/confounding-factors-healthcare-it-analytics.md,Target trials and structural missingness,Causal Inference: What If,https://content.sph.harvard.edu/wwwhsph/sites/1268/2024/04/hernanrobins_WhatIf_26apr24.pdf,content.sph.harvard.edu,2,GET,404,0,https://content.sph.harvard.edu/wwwhsph/sites/1268/2024/04/hernanrobins_WhatIf_26apr24.pdf,BROKEN-LINK REVIEW — HTTP 404,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0009,https://www.suvroghosh.in/blog/healthcare-it/confounding-factors-healthcare-it-analytics,Confounding Factors,src/lib/posts/confounding-factors-healthcare-it-analytics.md,Denominator corruption happens upstream,"Confounding, stripped to its bones",https://journals.plos.org/plosmedicine/article,journals.plos.org,2,HEAD,200,0,https://journals.plos.org/plosmedicine/article,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0010,https://www.suvroghosh.in/blog/healthcare-it/confounding-factors-healthcare-it-analytics,Confounding Factors,src/lib/posts/confounding-factors-healthcare-it-analytics.md,The architecture of honest analysis,RECORD statement,https://journals.plos.org/plosmedicine/article,journals.plos.org,2,HEAD,200,0,https://journals.plos.org/plosmedicine/article,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0011,https://www.suvroghosh.in/blog/healthcare-it/confounding-factors-healthcare-it-analytics,Confounding Factors,src/lib/posts/confounding-factors-healthcare-it-analytics.md,"DAGs, colliders, and time zero",Shrier and Platt’s DAG tutorial,https://pmc.ncbi.nlm.nih.gov/articles/PMC2601045/,pmc.ncbi.nlm.nih.gov,2,HEAD,200,0,https://pmc.ncbi.nlm.nih.gov/articles/PMC2601045/,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0012,https://www.suvroghosh.in/blog/healthcare-it/confounding-factors-healthcare-it-analytics,Confounding Factors,src/lib/posts/confounding-factors-healthcare-it-analytics.md,Target trials and structural missingness,target trial emulation,https://pmc.ncbi.nlm.nih.gov/articles/PMC4832051/,pmc.ncbi.nlm.nih.gov,2,HEAD,200,0,https://pmc.ncbi.nlm.nih.gov/articles/PMC4832051/,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0013,https://www.suvroghosh.in/blog/healthcare-it/confounding-factors-healthcare-it-analytics,Confounding Factors,src/lib/posts/confounding-factors-healthcare-it-analytics.md,Where the distortion enters,“Biases in electronic health record data due to processes within the healthcare system”,https://pmc.ncbi.nlm.nih.gov/articles/PMC5925441/,pmc.ncbi.nlm.nih.gov,2,HEAD,200,0,https://pmc.ncbi.nlm.nih.gov/articles/PMC5925441/,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0014,https://www.suvroghosh.in/blog/healthcare-it/fhir-the-universal-language-of-health-data,FHIR and the Clerk With the Clipboard,src/lib/posts/fhir-the-universal-language-of-health-data.md,P.S. References,https://argonautwiki.hl7.org,https://argonautwiki.hl7.org/,argonautwiki.hl7.org,1,HEAD,,0,https://argonautwiki.hl7.org/,UNVERIFIED — NETWORK OR REDIRECT ERROR,2026-08-06T12:22:54.710Z,network_error,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
CITE-0015,https://www.suvroghosh.in/blog/healthcare-it/fhir-the-universal-language-of-health-data,FHIR and the Clerk With the Clipboard,src/lib/posts/fhir-the-universal-language-of-health-data.md,P.S. References,https://hl7.org/fhir,https://hl7.org/fhir,hl7.org,1,HEAD,202,0,https://hl7.org/fhir,LIVE HTTP RESPONSE,2026-08-06T12:22:54.710Z,,UNVERIFIED — HTTP liveness does not establish semantic support for the nearby claim
