bucket,title,canonical_url,canonical_technically_eligible,observed_28d_visitors_directional,inbound_internal_link_occurrences,unique_source_pages,outbound_unique_targets,crawler_click_depth,visible_click_depth,meaningful_click_depth,weak_component_id,component_size,pagerank,topic_cluster,links_from_hubs,links_from_observed_high_traffic_pages,orphan_status,near_orphan,dead_end,visible_contextual_source_pages,pagination_only,related_widget_only,generic_anchor_visible_occurrences,generic_anchor_visible_share,redirecting_inlink_occurrences,noncanonical_variant_inlink_occurrences,bounded_recommendation
essay,Subscription to Oblivion,https://www.suvroghosh.in/blog/essay/subscription-to-oblivion,true,10,8,8,21,3,3,3,component-001,935,0.0002841,category:essay,4,0,linked,false,false,6,false,false,0,0,0,0,Retain current hub support; test a high-traffic contextual path only after clean-human traffic is available.
essay,The Curriculum Vitae of a Vanishing Man,https://www.suvroghosh.in/blog/monologue/the-curriculum-vitae-of-a-vanishing-man,true,10,10,10,22,4,4,4,component-001,935,0.000256036,category:monologue,5,0,linked,false,false,8,false,false,0,0,0,0,"Review one contextual link from a shallow, relevant writing or identity hub; preserve the literary framing."
essay,One Program at a Time,https://www.suvroghosh.in/blog/personal-essay/one-program-at-a-time,true,11,13,12,23,3,3,3,component-001,935,0.0004759142,category:personal-essay,6,1,linked,false,false,11,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
essay,Why 2026 Is Still the 21st Century,https://www.suvroghosh.in/blog/personal-essay/the-century-has-a-hole-in-it,true,13,11,11,22,3,3,3,component-001,935,0.0003581312,category:personal-essay,5,0,linked,false,false,9,false,false,0,0,0,0,Retain current hub support; test a high-traffic contextual path only after clean-human traffic is available.
essay,The Ichor of AI Leaderboards,https://www.suvroghosh.in/blog/polemic/ai-leaderboard-ichor,true,14,8,8,21,3,3,3,component-001,935,0.0004434653,category:polemic,4,1,linked,false,false,6,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
healthcare,"ChatGPT Enters Healthcare, and Compliance Is the Easy Part",https://www.suvroghosh.in/blog/healthcare-it/chatgpt-enters-healthcare-compliance-is-the-easy-part,true,6,16,14,22,3,3,3,component-001,935,0.0007290151,category:healthcare-it,6,2,linked,false,false,12,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
healthcare,Confounding Factors,https://www.suvroghosh.in/blog/healthcare-it/confounding-factors-healthcare-it-analytics,true,2,17,14,24,2,2,2,component-001,935,0.0035291569,category:healthcare-it,7,1,linked,false,false,12,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
healthcare,The Shadow Architecture of Healthcare Data,https://www.suvroghosh.in/blog/healthcare-it/explaining-the-healthcare-it-gap-as-continuity,true,,28,26,31,3,3,3,component-001,935,0.0009532904,category:healthcare-it,10,0,linked,false,false,24,false,false,0,0,0,0,Retain current hub support; test a high-traffic contextual path only after clean-human traffic is available.
healthcare,FHIR and the Clerk With the Clipboard,https://www.suvroghosh.in/blog/healthcare-it/fhir-the-universal-language-of-health-data,true,2,24,20,23,2,2,2,component-001,935,0.0051879699,category:healthcare-it,9,2,linked,false,false,18,false,false,0,0,0,0,"Maintain current contextual and hub coverage; prioritize evidence, performance, and measured demand."
healthcare,"HL7 vs FHIR, Explained Simply",https://www.suvroghosh.in/blog/healthcare-it/hl7-vs-fhir-explained-simply,true,,18,15,28,3,3,3,component-001,935,0.0006883319,category:healthcare-it,8,0,linked,false,false,13,false,false,0,0,0,0,Retain current hub support; test a high-traffic contextual path only after clean-human traffic is available.
