candidate_id,issue_type,source_file_a,url_a,title_a,source_file_b,url_b,title_b,body_cosine_similarity,title_cosine_similarity,shared_tags,document_count,repeated_passage_excerpt,detection_rule,assessment_status,recommended_editorial_review
CORPUS-00001,NEAR_DUPLICATE_BODY,src/lib/posts/ai_english_songs.md,https://www.suvroghosh.in/blog/ai-music-song/ai_english_songs,English AI Songs,src/lib/posts/ai_music.md,https://www.suvroghosh.in/blog/ai-music-song/ai_music,AI Music,0.9677,0.0000,ai,2,,local TF-IDF cosine ≥ 0.72 after Markdown stripping,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,"Compare side by side; do not merge, redirect, delete, noindex, or rewrite without editorial and search-performance evidence"
CORPUS-00002,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/a-meaningless-number-on-an-average-star.md,https://www.suvroghosh.in/blog/personal-essay/a-meaningless-number-on-an-average-star,A Meaningless Number on an Average Star,src/lib/posts/falling-through-the-southern-edge-at-3am.md,https://www.suvroghosh.in/blog/personal-essay/falling-through-the-southern-edge-at-3am,Falling Through the Southern Edge at 3 AM,,,,4,Dream | Dreams,case/punctuation/simple singular normalization converged on “dream”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00003,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/administratively-deleted.md,https://www.suvroghosh.in/blog/personal-essay/administratively-deleted,Administratively Deleted,src/lib/posts/keshkhor.md,https://www.suvroghosh.in/blog/short-fiction/keshkhor,Keshkhor,,,,4,Hair | Hairs,case/punctuation/simple singular normalization converged on “hair”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00004,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/after-america-before-nothing.md,https://www.suvroghosh.in/blog/personal-essay/after-america-before-nothing,"After America, Before Nothing",src/lib/posts/ai-wave-social-isolation-mental-health-infrastructure.md,https://www.suvroghosh.in/blog/artificial-intelligence/ai-wave-social-isolation-mental-health-infrastructure,The Mental Health System Will Meet the AI Wave at Its Weakest Joint,,,,12,System | Systems,case/punctuation/simple singular normalization converged on “system”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00005,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/after-america-before-nothing.md,https://www.suvroghosh.in/blog/personal-essay/after-america-before-nothing,"After America, Before Nothing",src/lib/posts/benfords-law-and-the-ledger-that-sweats.md,https://www.suvroghosh.in/blog/mathematics/benfords-law-and-the-ledger-that-sweats,Benford’s Law and the Ledger That Sweats,,,,6,Payment | Payments,case/punctuation/simple singular normalization converged on “payment”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00006,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/after-america-before-nothing.md,https://www.suvroghosh.in/blog/personal-essay/after-america-before-nothing,"After America, Before Nothing",src/lib/posts/constipated-americans-diarrhoea.md,https://www.suvroghosh.in/blog/personal-essay/constipated-americans-diarrhoea,Constipated in Calcutta While America Shits Cyclospora,,,,4,American | Americans,case/punctuation/simple singular normalization converged on “american”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00007,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/after-america-before-nothing.md,https://www.suvroghosh.in/blog/personal-essay/after-america-before-nothing,"After America, Before Nothing",src/lib/posts/the-moat-has-mosquitoes.md,https://www.suvroghosh.in/blog/personal-essay/the-moat-has-mosquitoes,The Moat Has Mosquitoes,,,,3,Invoice | Invoices,case/punctuation/simple singular normalization converged on “invoice”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00008,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/agentic-ai-and-the-asymmetry-of-will.md,https://www.suvroghosh.in/blog/artificial-intelligence/agentic-ai-and-the-asymmetry-of-will,AI Agents Will Not Democratize Power Neatly,src/lib/posts/ai-cannot-suffer-yet.md,https://www.suvroghosh.in/blog/artificial-intelligence/ai-cannot-suffer-yet,"If AI Ever Gets Depressed, We Are Probably in Trouble",,,,10,Human | Humans,case/punctuation/simple singular normalization converged on “human”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00009,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/agentic-ai-and-the-asymmetry-of-will.md,https://www.suvroghosh.in/blog/artificial-intelligence/agentic-ai-and-the-asymmetry-of-will,AI Agents Will Not Democratize Power Neatly,src/lib/posts/anthropic-is-coming-for-wall-street.md,https://www.suvroghosh.in/blog/artificial-intelligence/anthropic-is-coming-for-wall-street,Anthropic Is Coming for Wall Street,,,,7,Agent | Agents,case/punctuation/simple singular normalization converged on “agent”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00010,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/ai_music.md,https://www.suvroghosh.in/blog/ai-music-song/ai_music,AI Music,src/lib/posts/ai-meaningful-work-trust-collapse.md,https://www.suvroghosh.in/blog/artificial-intelligence/ai-meaningful-work-trust-collapse,"AI, Meaningful Work, and the Trust Collapse",,,,4,Song | Songs,case/punctuation/simple singular normalization converged on “song”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00011,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/ai-business-model-broke-bengali-nervous.md,https://www.suvroghosh.in/blog/technology/ai-business-model-broke-bengali-nervous,The AI Business Model Makes a Broke Bengali Nervous,src/lib/posts/annoyed-shouldering-the-chips-calcutta-public-transport.md,https://www.suvroghosh.in/blog/calcutta/annoyed-shouldering-the-chips-calcutta-public-transport,Shouldering the Chips: A Bengali Odyssey Through Calcutta’s Public Transport,,,,4,Chip | Chips,case/punctuation/simple singular normalization converged on “chip”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00012,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/ai-business-model-broke-bengali-nervous.md,https://www.suvroghosh.in/blog/technology/ai-business-model-broke-bengali-nervous,The AI Business Model Makes a Broke Bengali Nervous,src/lib/posts/the-alpine-glow-of-embezzlement.md,https://www.suvroghosh.in/blog/essay/the-alpine-glow-of-embezzlement,The Alpine Glow of Embezzlement,,,,2,Data Centers | Data-Center,case/punctuation/simple singular normalization converged on “data center”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00013,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/ai-cannot-suffer-yet.md,https://www.suvroghosh.in/blog/artificial-intelligence/ai-cannot-suffer-yet,"If AI Ever Gets Depressed, We Are Probably in Trouble",src/lib/posts/ai-harmonium-players.md,https://www.suvroghosh.in/blog/technology/ai-harmonium-players,The AI Harmonium Players,,,,9,Machine | Machines,case/punctuation/simple singular normalization converged on “machine”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00014,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/ai-cannot-suffer-yet.md,https://www.suvroghosh.in/blog/artificial-intelligence/ai-cannot-suffer-yet,"If AI Ever Gets Depressed, We Are Probably in Trouble",src/lib/posts/bipolar-mood-and-calcutta-calculus.md,https://www.suvroghosh.in/blog/personal-essay/bipolar-mood-and-calcutta-calculus,Bipolar Mood and Calcutta Calculus,,,,21,Mind | Minds,case/punctuation/simple singular normalization converged on “mind”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00015,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/ai-data-centres-india-power-water-calcutta-fear.md,https://www.suvroghosh.in/blog/technology/ai-data-centres-india-power-water-calcutta-fear,"The AI Cloud Will Also Need a Pump, a Plug, and a Tanker",,,,,,,1,Centre | Centres,case/punctuation/simple singular normalization converged on “centre”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00016,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/ai-data-centres-india-power-water-calcutta-fear.md,https://www.suvroghosh.in/blog/technology/ai-data-centres-india-power-water-calcutta-fear,"The AI Cloud Will Also Need a Pump, a Plug, and a Tanker",,,,,,,1,Data Centre | Data Centres,case/punctuation/simple singular normalization converged on “data centre”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00017,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/ai-deployment-evidence-over-opinion.md,https://www.suvroghosh.in/blog/healthcare-ai/ai-deployment-evidence-over-opinion,AI in Healthcare: Beware,src/lib/posts/ai-health-insurance-surreptitious-risk-scoring.md,https://www.suvroghosh.in/blog/healthcare-ai/ai-health-insurance-surreptitious-risk-scoring,AI Health Insurance and Cruelty,,,,16,Model | Models,case/punctuation/simple singular normalization converged on “model”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00018,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/ai-genie-out-of-the-bottle.md,https://www.suvroghosh.in/blog/artificial-intelligence/ai-genie-out-of-the-bottle,The Genie Is Out of the Bottle,src/lib/posts/ai-harmonium-players.md,https://www.suvroghosh.in/blog/technology/ai-harmonium-players,The AI Harmonium Players,,,,3,Student | Students,case/punctuation/simple singular normalization converged on “student”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00019,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/ai-health-insurance-surreptitious-risk-scoring.md,https://www.suvroghosh.in/blog/healthcare-ai/ai-health-insurance-surreptitious-risk-scoring,AI Health Insurance and Cruelty,src/lib/posts/the-desperation-premium.md,https://www.suvroghosh.in/blog/technology-and-society/the-desperation-premium,The Desperation Premium,,,,2,Review | Reviews,case/punctuation/simple singular normalization converged on “review”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
CORPUS-00020,TAG_FRAGMENTATION_CANDIDATE,src/lib/posts/ai-layoff-trap-firing-your-customers.md,https://www.suvroghosh.in/blog/ai-economics/ai-layoff-trap-firing-your-customers,The AI Layoff Trap: How Companies Can Fire Their Own Customers,src/lib/posts/india-ai-it-bpo-white-collar-jobs.md,https://www.suvroghosh.in/blog/india/india-ai-it-bpo-white-collar-jobs,India’s White-Collar Issue,,,,2,Firm | Firms,case/punctuation/simple singular normalization converged on “firm”,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW,Review tag labels and navigation behavior manually; normalization can conflate legitimately different concepts
