id,category,severity,confidence,evidence,affected_scope,impact,recommendation,effort,owner,verification
"GSC-P1-001","search account access","P1","VERIFIED ACCESS BLOCKER","GOOGLE_SEARCH_CONSOLE.md § Access verdict; SEARCH_CONSOLE_AND_BING.md § Evidence-status matrix; URL_INSPECTION_SAMPLE.csv rows UI-001 through UI-045","Domain-level Google search diagnosis","Manual Actions, Security Issues, indexing, selected canonicals, impressions, clicks, CTR, position, links, and CWV cannot be verified; public search cannot substitute","Existing verified owner should grant temporary Full user read access or export the specified reports; do not initiate DNS verification without explicit authorization","Small owner action; medium evidence review","Search property owner","Dated sanitized Manual Actions and Security Issues states plus performance, indexing, sitemap, links, CWV, and all 45 URL Inspection outcomes"
"BING-P1-001","search account access","P1","VERIFIED ACCESS BLOCKER","BING_WEBMASTER_TOOLS.md § Access verdict; SEARCH_CONSOLE_AND_BING.md § Bing Webmaster Tools assessment","Domain-level Bing search and IndexNow diagnosis","Bing indexing, performance, crawl, security, backlinks, sitemaps, URL Inspection, and live IndexNow outcomes remain unknown","Existing property owner should grant temporary read-only access or export the specified evidence; do not bypass challenges or alter verification without authorization","Small owner action; medium evidence review","Bing property owner","Dated sanitized Bing exports plus IndexNow workflow/Insights evidence and the representative URL sample"
"ANALYTICS-P1-001","analytics contamination","P1","HIGH — VERIFIED COUNTS AND CONFOUNDERS","ANALYTICS_TRUTH.md §§ Verdict and Contamination and anomaly analysis; TRAFFIC_BY_DAY.csv rows 2026-07-16 and 2026-07-17","All traffic, demand, engagement, and growth decisions","The observed 23.4 visitors/day seven-day counter cannot be treated as clean human or organic demand; 913 visitors/3,394 views over 28 days include concentrated and unattributed activity","Freeze definitions and collect 30 clean days with owner, deployment, audit, preview, monitoring, and known synthetic activity excluded or annotated; retain unknown traffic as unknown","Medium","Site owner and analytics/privacy owner","A reproducible 28-day human-traffic estimate or a documented product limitation under frozen filters, timezone, canonical map, and contamination rules"
"PERF-P1-001","field performance","P1","HIGH","PERFORMANCE_AND_ACCESSIBILITY.md §§ Plain-language verdict and Field loading is the controlling result; CORE_WEB_VITALS.csv Vercel desktop overall rows","Desktop production experience across sampled field traffic","Desktop p75 RES 56, LCP 6.96 s, FCP 5.68 s, and TTFB 0.94 s over 250 points can impair reading and professional journeys","Investigate by route and geography; retain before SHA; ship only route-specific changes that improve clean comparable lab and stable field evidence without content or accessibility regression","Medium","Site owner and performance engineer","Stable same-route/device 28-day field window plus telemetry-blocked three-run medians showing targeted improvement without regression"
"PERF-P1-002","professional landing performance","P1","HIGH","PERFORMANCE_AND_ACCESSIBILITY.md § Résumé video payload; LIGHTHOUSE_RESULTS.csv page_id resume median rows","Canonical résumé route","Three eager YouTube players contribute roughly 981–1,004 KiB median initial JavaScript and about 1.11–1.23 MiB typical YouTube transfer, increasing delay and variance on a high-business-value path","Replace eager players with accessible local posters and explicit click-to-play controls; preserve title, caption, direct link, and keyboard path","Medium","Frontend engineer and content/video owner","No YouTube iframe/script request before activation; three clean mobile/desktop medians; keyboard, focus, caption, content, and conversion-path review pass"
"CRAWL-P3-001","crawlability","P3","HIGH — VERIFIED COMPLETE","AUDIT_SUMMARY.json; URL_INVENTORY.csv; REDIRECTS.csv; SITEMAP_RECONCILIATION.csv; USER_AGENT_SAMPLE.csv; USER_AGENT_COMPARISON.csv","1,022 reconciled production URLs and 60 representative URLs across eight user agents","No site-wide crawl block, challenge, user-agent material difference, redirect chain, or loop was observed; all inventory rows completed at terminal HTTP 200, while 85 known aliases use a direct one-hop 308","Preserve the current crawl and robots controls; monitor the accepted inventory and representative user-agent sample after approved route or platform changes","Small recurring verification","Audit engineer and platform owner","Accepted rerun retains 1,022 reconciled rows, 85 one-hop redirects, 480 error-free user-agent requests, zero material differences, and the matching robots hash"
"INDEX-P2-001","technical indexability","P2","HIGH — VERIFIED TARGETED DEFECTS","INDEXABILITY.csv; SITEMAP_RECONCILIATION.csv; INTERNAL_LINKS_AND_ARCHITECTURE.md §§ Technical eligibility and canonical controls","933 technically eligible canonical graph URLs; four additional indexable requested-URL rows require exact canonical-policy review","Two standalone notebook HTML pages omit canonicals and are dead ends; two page-2 routes canonicalize to a different path while repeating base metadata. Engine indexing, selected canonicals, and sitemap acceptance remain unverified","Resolve only the four named canonical-policy rows after owner intent is confirmed; review Notes, image-tab, notebook, and pagination sitemap roles without bulk noindexing, redirects, or submissions","Medium targeted review","Platform owner, information architect, and search property owners","A bounded recrawl shows the intended canonical, initial HTML, index directive, sitemap role, and link path for each acted-on row; Google/Bing evidence separately verifies engine state"
"LINK-P2-001","internal linking and architecture","P2","HIGH — VERIFIED RENDERED GRAPH","INTERNAL_LINK_GRAPH.csv; ORPHANS.csv; CRAWL_DEPTH.csv; INTERNAL_LINKS_AND_ARCHITECTURE.md; HUB_RECOMMENDATIONS.md; FLAGSHIP_ARCHITECTURE.csv","935 rendered canonical nodes and 46,253 edge-evidence rows","The graph is one weak component with zero true or crawler-unreachable orphans, but has 59 near-orphans, two notebook dead ends, 218 pagination-only canonicals, one visible-unreachable inactive-tab resource, and 86 redirecting internal-link occurrences; all 25 flagships have contextual and hub support","Apply only owner-approved page-level repairs: resolve the notebook/resource roles, update two shared legacy topic hrefs, and consider one shallow contextual path for the sole depth-four flagship; do not mass-link or consolidate archives","Medium targeted information-architecture work","Information architect, editorial owner, and platform owner","A rerun preserves one connected canonical graph and 25/25 supported flagships while each approved target gains its intended visible/canonical path and no redirecting href regression"
"CONVERSION-P2-001","conversion measurement","P2","HIGH","CONVERSION_MEASUREMENT.md §§ Current state, Required eight-stage funnel, and Event decision register","Technical eligibility through qualified enquiries","No trustworthy baseline connects page views or search visits to engagement, returns, actions, or qualified enquiries; missing events are not measured zeroes","Approve the eight-stage definitions and one or two privacy-bounded outcome events; validate in preview; publish appropriate disclosure; collect a clean window","Medium","Site owner and analytics/privacy owner","All eight stages retain explicit sources/statuses; accepted events fire once within scope; rejected signals do not fire; no personal data enters analytics"
"CONTENT-P2-001","factual evidence readiness","P2","HIGH FOR OBSERVED LOCAL GAPS; BROAD CORPUS PRIORITY IS HEURISTIC","EVIDENCE_AUDIT.csv: 146 rows with evidence_requirement_0_5 >= 4 and existing_evidence_quality_0_5 = 0; SOURCE_TO_CLAIM_REVIEW.md: 7 locally aligned, 4 partial, 3 concern among 14 source-bearing pages; CITATION_LIVENESS.csv: 49 live responses, 1 confirmed HTTP 404 review, 36 access/network/private unknowns","Evidence-sensitive healthcare, AI, scientific, and current-affairs pages","Three source-bearing pages have material local support gaps, four have incomplete coverage/mapping, one authored citation returned HTTP 404 to both HEAD and GET, and the wider machine-prioritized corpus still requires editorial review; none of these observations proves a factual claim false","Repair the confirmed citation after checking the intended edition; review the three concern pages before promotion; then human-review at most one healthcare and one interactive provisional flagship with claim-level primary/institutional sources, methods, dates, contribution context, and fact/inference/opinion boundaries","Medium to large editorial review","Editorial owner and subject-matter reviewer","Every selected page has an approved claim/source map, live and semantically supporting sources, explicit limitations/contribution context, a genuine review date, and no decorative references"
