source_file,canonical_url,title,primary_content_mode,intended_audience,intended_user_outcome,primary_topic,secondary_topic,business_relevance_0_5,search_relevance_0_5,originality_or_first_hand_value_0_5,evidence_requirement_0_5,existing_evidence_quality_0_5,present_internal_link_support,present_external_link_support,impressions,clicks,average_position,click_through_rate,indexed_status,recommended_treatment,classification_confidence,mode_signals,field_provenance,search_metrics_status,query_language,query_language_status,seo_title,markdown_h1,rendered_h1_status,opening_paragraph,headings,internal_anchor_text,search_snippet,search_snippet_status,title_body_token_overlap_0_1,title_delivery_correspondence_status
src/lib/posts/a-cup-of-cha-is-not-a-small-thing.md,https://www.suvroghosh.in/blog/essay/a-cup-of-cha-is-not-a-small-thing,A Cup of Cha Is Not a Small Thing,evergreen essay,"general readers interested in ideas, society, culture, or reflection",consider an enduring argument or perspective,Essay,Cha,1,2,5,2,0,NO LINKS DETECTED,NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,"PRESERVE; no automatic merge, deletion, noindex, or rewrite is justified by repository-only evidence",MEDIUM,"essay, ideas, society, culture, or commentary category",HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"EIC: East India Company, the British trading corporation that became powerful enough to collect taxes, run armies, manipulate trade, and generally behave like a government wearing a merchant’s hat.",,,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,1.000,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/a-meaningless-number-on-an-average-star.md,https://www.suvroghosh.in/blog/personal-essay/a-meaningless-number-on-an-average-star,A Meaningless Number on an Average Star,personal essay,"direct, subscriber, social, and recommendation-driven readers",share in a first-person experience or reflection,Personal Essay,Infinity,1,1,5,1,0,YES — 4 link(s),NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,"PRESERVE AS PERSONAL ESSAY; no search-demand defect inferred; assess through direct, subscriber, recommendation, and social readership",HIGH,"explicit personal-essay, personal, memoir, or life category",HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,Acronyms expanded in this post: No central technical acronyms need expansion here.,Related Posts,The English Medium Urine Stain | Why I Write What I Write | The Painful Tooth Fairy | Political Promises and the Hard Floor of Reality,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,1.000,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/a-trapezoid-in-low-light.md,https://www.suvroghosh.in/blog/personal-essay/a-trapezoid-in-low-light,A Trapezoid in Low Light,personal essay,"direct, subscriber, social, and recommendation-driven readers",share in a first-person experience or reflection,Personal Essay,Rectangle,1,1,5,1,0,NO LINKS DETECTED,NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,"PRESERVE AS PERSONAL ESSAY; no search-demand defect inferred; assess through direct, subscriber, recommendation, and social readership",HIGH,"explicit personal-essay, personal, memoir, or life category",HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,The tea had grown a thin brown skin on top.,,,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,1.000,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/administratively-deleted.md,https://www.suvroghosh.in/blog/personal-essay/administratively-deleted,Administratively Deleted,personal essay,"direct, subscriber, social, and recommendation-driven readers",share in a first-person experience or reflection,Personal Essay,Erasure,1,1,5,1,0,NO LINKS DETECTED,NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,"PRESERVE AS PERSONAL ESSAY; no search-demand defect inferred; assess through direct, subscriber, recommendation, and social readership",HIGH,"explicit personal-essay, personal, memoir, or life category",HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,Acronyms and short forms used in this post:,,,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,0.000,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/after-america-before-nothing.md,https://www.suvroghosh.in/blog/personal-essay/after-america-before-nothing,"After America, Before Nothing",personal essay,"direct, subscriber, social, and recommendation-driven readers",share in a first-person experience or reflection,Personal Essay,America,2,1,5,1,0,NO LINKS DETECTED,NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,"PRESERVE AS PERSONAL ESSAY; no search-demand defect inferred; assess through direct, subscriber, recommendation, and social readership",MEDIUM,personal metadata plus strong first-person healthcare context,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"Acronyms used: IT means Information Technology, the broad world of computers, software, data, systems, and the human mess glued around them. NIH means National Institutes of Health, the major American federal agency that supports biomedical research. VA means Veterans Affairs, the American healthcare system for military veterans. SQL means Structured Query …",,,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,1.000,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/agentic-ai-and-the-asymmetry-of-will.md,https://www.suvroghosh.in/blog/artificial-intelligence/agentic-ai-and-the-asymmetry-of-will,AI Agents Will Not Democratize Power Neatly,search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,Artificial Intelligence,Decision Support,3,5,3,4,0,YES — 4 link(s),NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,technical category and vocabulary,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"Acronyms expanded in this post: AI: Artificial Intelligence. software that generates, classifies, predicts, summarizes, or acts on patterns in data. API: Application Programming Interface. a controlled doorway through which software systems exchange data or actions. CAPTCHA: Completely Automated Public Turing test to tell Computers and Humans Apart. a chall…",Related Posts,The Premature Bedside Manner of Large Language Models | The Genie Is Out of the Bottle | Anthropic Is Coming for Wall Street | Political Promises and the Hard Floor of Reality,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,0.600,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/ai_bengali_songs.md,https://www.suvroghosh.in/blog/ai-music-song/ai_bengali_songs,Bengali AI Songs,search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,AI Music Song,Tracks Whenever,3,5,3,4,0,YES — 4 link(s),NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,technical category and vocabulary,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,,Refresh often I add new tracks whenever I feel like it | Related Posts,Hindi AI Songs | English AI Songs | AI Music | Chronic Traumatic Nihilism From Calcutta,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,1.000,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/ai_english_songs.md,https://www.suvroghosh.in/blog/ai-music-song/ai_english_songs,English AI Songs,search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,AI Music Song,AI,3,5,3,4,0,YES — 4 link(s),NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,technical category and vocabulary,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"Acronyms expanded in this post: AI: Artificial Intelligence. software that generates, classifies, predicts, summarizes, or acts on patterns in data.",Related Posts,AI Music | Hindi AI Songs | Pests we love | Bengali AI Songs,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,1.000,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/ai_music.md,https://www.suvroghosh.in/blog/ai-music-song/ai_music,AI Music,search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,AI Music Song,AI Songs,3,5,3,4,0,YES — 4 link(s),NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,technical category and vocabulary,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"Acronyms expanded in this post: AI: Artificial Intelligence. software that generates, classifies, predicts, summarizes, or acts on patterns in data.",Related Posts,English AI Songs | Pests we love | Bengali AI Songs | Hindi AI Songs,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,1.000,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
src/lib/posts/ai-business-model-broke-bengali-nervous.md,https://www.suvroghosh.in/blog/technology/ai-business-model-broke-bengali-nervous,The AI Business Model Makes a Broke Bengali Nervous,search-oriented technical explainer,"technical practitioners, students, and technically curious readers",understand or apply a technical concept,Technology,AI Infrastructure,3,5,3,4,0,NO LINKS DETECTED,NO LINKS DETECTED,,,,,UNVERIFIED — REQUIRES AUTHENTICATED SEARCH CONSOLE OR BING EVIDENCE,EDITORIAL REVIEW: map consequential claims to primary/institutional evidence and add a genuine review date; do not add decorative references,MEDIUM,technical category and vocabulary,HEURISTIC_INFERENCE — REQUIRES EDITORIAL REVIEW; mode/audience/outcome/topics/scores/treatment inferred from frontmatter and local body text,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,,,UNVERIFIED — NO RENDER PERFORMED; blank markdown_h1 does not imply a missing rendered H1,"Acronyms: AI means Artificial Intelligence, software that appears to reason, write, code, predict, classify, summarize, and sometimes confidently invent nonsense with the face of a bank manager. GPU means Graphics Processing Unit, the specialized chip now doing much of the heavy lifting in modern AI. GW means gigawatt, one billion watts of electrical power,…",,,,UNVERIFIED — AUTHENTICATED SEARCH DATA NOT PROVIDED,0.800,UNVERIFIED — REQUIRES HUMAN EDITORIAL READING
