backlog_id,finding_id,priority,evidence_status,action,status,dependency,owner,effort,verification
"RB-001","GSC-P1-001","P1","VERIFIED ACCESS BLOCKER","Obtain read-only Search Console exports and dated Manual Actions, Security Issues, indexing, sitemap, links, CWV, and 45-URL Inspection evidence","OWNER ACTION REQUIRED","Existing verified property or explicitly approved verification route","Search property owner","Small owner action; medium evidence review","Required sanitized reports exist; all 45 inspection rows have dated statuses; private identifiers remain private"
"RB-002","BING-P1-001","P1","VERIFIED ACCESS BLOCKER","Obtain read-only Bing exports and verify property, security, crawl/indexing, sitemaps, backlinks, URL Inspection, and live IndexNow Insights/workflow state","OWNER ACTION REQUIRED","Existing Bing property or explicit owner choice of import/manual verification","Bing property owner","Small owner action; medium evidence review","Required sanitized reports and representative URL outcomes exist; IndexNow key remains undisclosed"
"RB-003","ANALYTICS-P1-001","P1","VERIFIED COUNTS; HUMAN CLASSIFICATION UNESTABLISHED","Freeze measurement definitions and collect a clean 30-day window with owner, deploy, audit, preview, monitoring, and synthetic annotations/exclusions","READY FOR OWNER DECISION","Privacy review, owner/test identification method, canonical/alias join, and accepted outcome definitions","Site owner and analytics/privacy owner","Medium","A reproducible clean-human estimate or documented product limitation exists under frozen filters, units, timezone, and contamination rules"
"RB-004","CRAWL-P3-001;INDEX-P2-001;LINK-P2-001","P2","VERIFIED LIVE CRAWL; TARGETED PROPOSALS","Resolve the four exact canonical-policy rows, two standalone notebook dead ends, the hidden-only resource path, and two shared legacy topic hrefs only after page-role and editorial approval","EVIDENCE COMPLETE — PROPOSALS NOT IMPLEMENTED","Owner intent for notebook, pagination, resource, and hub roles; editorial approval for any new contextual path","Information architect, editorial owner, and platform owner","Medium targeted work","Accepted rerun preserves 1,022 reconciled URLs, one 935-node component, zero true orphans, and 25/25 supported flagships while each approved target has the intended canonical and visible path"
"RB-005","PERF-P1-002","P1","VERIFIED LAB DEFECT ON HIGH-VALUE ROUTE","Replace three eager résumé YouTube players with accessible click-to-play posters","PROPOSED — NOT IMPLEMENTED","Owner approves UX; local poster/title/caption/direct-link design; before SHA retained","Frontend engineer and content/video owner","Medium","No YouTube request before activation; clean three-run medians improve; keyboard, focus, caption, content, and route tests pass"
"RB-006","PERF-P1-001","P1","VERIFIED FIELD LOADING WEAKNESS","Investigate desktop field loading by route/geography and use stable field evidence to select the next narrow correction","READY FOR OWNER DECISION","Clean measurement window and same-route/device comparison protocol","Site owner and performance engineer","Medium","Comparable 28-day field p75 and clean route lab medians exist; no accessibility/content/layout regression"
"RB-007","PERF-P2-003","P2","VERIFIED LAB PAYLOAD","Add responsive compressed archive thumbnails with truthful intrinsic dimensions","PROPOSED — NOT IMPLEMENTED","Media pipeline design and actual LCP-card verification","Frontend and media-pipeline engineer","Medium","Responsive-source assertions pass and archive image transfer improves against 1,635 KiB median without visual/alt/layout regression"
"RB-008","A11Y-P2-001","P2","VERIFIED REPEATABLE DEFECTS","Fix exact résumé/Atlas contrast and visible-label/accessibility-name mismatches and add rendered regressions","PROPOSED — NOT IMPLEMENTED","Design-token/component review and manual voice-control test plan","Design-system and frontend engineer","Small to medium","Applicable Lighthouse nodes reach zero; rendered contrast/name tests and manual keyboard/voice-control checks pass"
"RB-009","CONVERSION-P2-001","P2","VERIFIED MEASUREMENT GAP","Approve the eight-stage funnel and implement only one or two privacy-bounded outcome events after preview validation","OWNER DECISION REQUIRED","Privacy disclosure, event tier/tool decision, owner/test boundary, frozen qualification rule","Site owner and analytics/privacy owner","Medium","Accepted events fire once under defined scope, rejected signals do not fire, all stages name sources/statuses, and no personal data is transmitted"
"RB-010","CONTENT-P2-001","P2","OBSERVED LOCAL GAPS; BROAD CORPUS PRIORITY IS HEURISTIC","Confirm and repair the one observed HTTP 404 citation; clear the three source-to-claim concern pages; then review at most one healthcare and one interactive provisional flagship before promotion","PROPOSED EDITORIAL REVIEW","Owner-approved 25-page cohort, subject-matter reviewer, source-to-claim method, and search evidence where available","Editorial owner and subject-matter reviewer","Medium per cycle","Each selected page has live, approved, semantically supporting sources, limitations, contribution context, a genuine review date, and no decorative references"
